name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Giannis Antetokounmpo,PF,MIL,29.328358208955223,1.2985074626865671,1.1940298507462686,5.402985074626866,13.0,3.5970149253731343,10.686567164179104,19.299999999999997,6.7164179104477615,9.8,1.2388059701492538,3.7,0.554,0.685,0.334,33.3,33.3
Anthony Davis,PF,LAL,26.737704918032787,2.5081967213114753,1.5081967213114753,3.19672131147541,10.508196721311476,2.2950819672131146,9.524590163934427,18.400000000000002,6.704918032786885,8.1,0.9836065573770492,3.0,0.518,0.828,0.33,34.4,34.4
Nikola Jokic,C,DEN,23.529411764705884,0.7941176470588235,1.2941176470588236,7.705882352941177,11.205882352941176,3.2058823529411766,8.823529411764707,17.0,4.588235294117647,5.5,1.2941176470588236,3.6999999999999997,0.519,0.834,0.348,34.1,34.1
Luka Doncic,PG,DAL,30.393939393939394,0.30303030303030304,1.196969696969697,8.196969696969697,9.5,4.196969696969697,9.833333333333334,21.099999999999998,7.484848484848484,9.700000000000001,3.242424242424242,9.299999999999999,0.466,0.771,0.348,35.6,35.6
LeBron James,SF,LAL,24.984126984126984,0.6031746031746031,1.2063492063492063,9.206349206349206,7.698412698412699,3.6984126984126986,9.428571428571429,18.5,4.174603174603175,6.0,1.9523809523809523,5.6000000000000005,0.51,0.697,0.348,33.5,33.5
James Harden,SG,HOU,30.34328358208955,0.8059701492537313,1.7014925373134329,7.1940298507462686,6.0,4.402985074626866,9.044776119402986,20.6,8.417910447761194,9.7,3.8358208955223883,10.7,0.439,0.868,0.359,34.6,34.599999999999994
Stephen Curry,PG,GSW,26.887096774193548,0.3064516129032258,1.5,5.693548387096774,5.193548387096774,2.903225806451613,8.774193548387096,18.200000000000003,4.693548387096774,5.1,4.645161290322581,10.8,0.482,0.919,0.43,32.9,32.9
Devin Booker,SG,PHO,29.333333333333332,0.30303030303030304,0.8939393939393939,6.393939393939394,4.196969696969697,4.0,9.545454545454545,19.8,7.7272727272727275,8.700000000000001,2.515151515151515,7.0,0.482,0.889,0.36,35.7,35.699999999999996
Damian Lillard,PG,POR,30.523076923076925,0.3076923076923077,1.0,7.6,4.3076923076923075,2.9076923076923076,9.676923076923076,21.3,7.138461538461539,8.0,4.030769230769231,10.4,0.454,0.892,0.388,36.6,36.6
Kevin Durant,SF,BKN,25.59375,1.296875,0.796875,5.5,6.703125,2.796875,9.078125,17.4,5.484375,6.2,1.953125,5.2,0.522,0.885,0.377,33.9,33.9
Trae Young,PG,ATL,29.078125,0.09375,1.09375,9.203125,4.296875,4.703125,9.015625,20.4,7.75,8.9,3.296875,9.1,0.442,0.871,0.362,35.3,35.3
Kawhi Leonard,SF,LAC,26.82758620689655,0.5,1.793103448275862,4.293103448275862,7.396551724137931,2.5,9.344827586206897,19.599999999999998,6.120689655172414,7.0,2.0172413793103448,5.5,0.477,0.874,0.368,33.1,33.1
Jayson Tatum,PF,BOS,26.625,1.0,1.5,3.703125,7.09375,2.203125,9.234375,20.4,5.078125,6.2,3.078125,7.6,0.453,0.82,0.405,35.5,35.5
Joel Embiid,C,PHL,25.5,1.903225806451613,0.8064516129032258,3.403225806451613,12.596774193548388,3.403225806451613,8.435483870967742,17.6,7.387096774193548,9.2,1.2419354838709677,3.9000000000000004,0.479,0.803,0.32,32.4,32.4
Jimmy Butler,SF,MIA,21.151515151515152,0.5,1.803030303030303,5.196969696969697,6.0,1.893939393939394,6.818181818181818,14.6,6.4393939393939394,7.6000000000000005,1.0757575757575757,3.3000000000000003,0.467,0.847,0.325,34.4,34.4
Russell Westbrook,PG,WAS,24.761904761904763,0.30158730158730157,1.6031746031746033,8.507936507936508,8.206349206349206,4.2063492063492065,9.555555555555555,20.7,4.587301587301587,6.1000000000000005,1.0634920634920635,4.0,0.462,0.751,0.266,33.7,33.699999999999996
Kyrie Irving,PG,BKN,24.866666666666667,0.3,1.4,6.4,4.8,2.5,9.216666666666667,19.0,3.75,4.2,2.683333333333333,6.7,0.485,0.893,0.401,32.8,32.8
Karl-Anthony Towns,C,MIN,26.19402985074627,1.507462686567164,0.8955223880597015,3.5970149253731343,12.104477611940299,2.8955223880597014,9.149253731343284,17.6,5.358208955223881,6.5,2.537313432835821,6.199999999999999,0.52,0.825,0.409,34.6,34.599999999999994
Donovan Mitchell,SG,UTA,26.264705882352942,0.29411764705882354,1.2058823529411764,4.102941176470588,4.205882352941177,2.7058823529411766,9.441176470588236,21.2,4.661764705882353,5.6000000000000005,2.7205882352941178,7.6,0.445,0.832,0.358,34.0,34.0
